"","all_trips_v3$member_casual","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","casual","Sunday",1072.02938266083
"2","member","Sunday",800.629796450403
"3","casual","Monday",990.06992756259
"4","member","Monday",700.793348682228
"5","casual","Tuesday",927.502553146031
"6","member","Tuesday",690.772417180593
"7","casual","Wednesday",916.049578146755
"8","member","Wednesday",693.658896338843
"9","casual","Thursday",907.080943199164
"10","member","Thursday",687.483057335869
"11","casual","Friday",962.033931748214
"12","member","Friday",706.824054085714
"13","casual","Saturday",1057.40621005457
"14","member","Saturday",788.817509130182
