"","member_casual","start_station_name","number_of_station"
"1","casual","2112 W Peterson Ave",341
"2","casual","351",1
"3","casual","63rd St Beach",1404
"4","casual","900 W Harrison St",2487
"5","casual","Aberdeen St & Jackson Blvd",3467
"6","casual","Aberdeen St & Monroe St",3819
"7","casual","Aberdeen St & Randolph St",3816
"8","casual","Ada St & 113th St",44
"9","casual","Ada St & Washington Blvd",2979
"10","casual","Adler Planetarium",9793
"11","casual","Albany Ave & 26th St",146
"12","casual","Albany Ave & Belmont Ave",12
"13","casual","Albany Ave & Bloomingdale Ave",2175
"14","casual","Albany Ave & Montrose Ave",690
"15","casual","Altgeld Gardens",48
"16","casual","Archer (Damen) Ave & 37th St",281
"17","casual","Archer Ave & 43rd St",11
"18","casual","Artesian Ave & 55th St",21
"19","casual","Artesian Ave & Hubbard St",683
"20","casual","Ashland Ave & 13th St",577
"21","casual","Ashland Ave & 50th St",107
"22","casual","Ashland Ave & 63rd St",85
"23","casual","Ashland Ave & 66th St",57
"24","casual","Ashland Ave & 74th St",79
"25","casual","Ashland Ave & 78th St",52
"26","casual","Ashland Ave & Archer Ave",451
"27","casual","Ashland Ave & Augusta Blvd",2509
"28","casual","Ashland Ave & Belle Plaine Ave",1419
"29","casual","Ashland Ave & Blackhawk St",4657
"30","casual","Ashland Ave & Chicago Ave",3575
"31","casual","Ashland Ave & Division St",10284
"32","casual","Ashland Ave & Garfield Blvd",86
"33","casual","Ashland Ave & Grace St",2925
"34","casual","Ashland Ave & Grand Ave",2862
"35","casual","Ashland Ave & Lake St",2506
"36","casual","Ashland Ave & McDowell Ave",140
"37","casual","Ashland Ave & Pershing Rd",134
"38","casual","Ashland Ave & Wellington Ave",2064
"39","casual","Ashland Ave & Wrightwood Ave",3197
"40","casual","Augusta Blvd & Laramie Ave",4
"41","casual","Austin Blvd & Chicago Ave",152
"42","casual","Austin Blvd & Lake St",341
"43","casual","Austin Blvd & Madison St",173
"44","casual","Avenue L & 114th St",7
"45","casual","Avenue O & 118th St",70
"46","casual","Avenue O & 134th St",84
"47","casual","Avers Ave & Belmont Ave",840
"48","casual","Avondale Ave & Irving Park Rd",718
"49","casual","Baltimore Ave & 87th St",123
"50","casual","Base - 2132 W Hubbard Warehouse",11
"51","casual","Bennett Ave & 79th St",63
"52","casual","Benson Ave & Church St",2469
